NO,Nama,PRODI,Fasahah,Tajwid,Makhraj,BTQ,Tayamum,Wudhu,Bacaan,Gerakan,S. Jenazah,shalat,Total,CATATAN
1,Responden 1,ADPUB,85,85,85,85.0,79,79,79,80,80,79.4,82.2,Layak
2,Responden 2,ADBIS,85,80,85,83.3,80,80,80,78,80,79.6,81.5,Tidak layak
3,Responden 3,ADBIS,80,80,85,81.7,79,79,80,80,85,80.6,81.1,Layak
4,Responden 4,P.BIOLOGI,85,80,85,83.3,78,78,80,79,75,78,80.7,Tidak layak
5,Responden 5,PTI,80,80,80,80.0,78,78,79,85,79,79.8,79.9,Tidak layak
6,Responden 6,P.BIOLOGI,80,80,85,81.7,78,78,80,80,70,77.2,79.4,Tidak layak
7,Responden 7,P.BIOLOGI,80,78,85,81.0,78,78,78,78,70,76.4,78.7,Tidak layak
8,Responden 8,P.BIOLOGI,85,80,85,83.3,75,75,70,80,70,74,78.7,Tidak layak
9,Responden 9,P.BIOLOGI,80,80,85,81.7,78,78,70,80,70,75.2,78.4,Tidak layak
10,Responden 10,PBSI,80,75,80,78.3,79,79,79,80,75,78.4,78.4,Tidak layak
11,Responden 11,P.BIOLOGI,80,79,80,79.7,78,78,79,80,70,77,78.3,Tidak layak
12,Responden 12,ADBIS,80,79,85,81.3,78,80,70,78,70,75.2,78.3,Tidak layak
13,Responden 13,PBSI,80,80,80,80.0,78,78,65,79,75,75,77.5,Tidak layak
14,Responden 14,P.BIOLOGI,79,79,79,79.0,78,78,70,78,70,74.8,76.9,Tidak layak
15,Responden 15,ADBIS,85,70,80,78.3,78,78,70,78,60,72.8,75.6,Tidak layak
16,Responden 16,P.BIOLOGI,75,79,75,76.3,79,78,70,80,65,74.4,75.4,Tidak layak
17,Responden 17,ADBIS,80,79,80,79.7,70,70,70,78,65,70.6,75.1,Tidak layak
18,Responden 18,ADBIS,70,80,70,73.3,78,78,70,78,70,74.8,74.1,Tidak layak
19,Responden 19,KIMIA,85,82,86,84.3,80,80,80,82,85,81.4,82.9,Layak
20,Responden 20,PJKR,85,85,85,85.0,80,80,78,80,85,80.6,82.8,Layak
21,Responden 21,HUMAS,83,82,83,82.7,80,80,80,82,85,81.4,82.0,Layak
